accession_name,location,plot_number,block_number,is_a_control,rep_number,row_number,col_number,cassava mosaic disease incidence in 3-month|CO_334:0000219,cassava mosaic disease severity in 3-month|CO_334:0000218,cassava bacterial blight incidence 3-month evaluation|CO_334:0000178,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,sprout count at three-month|CO_334:0000214,CMD I 6MAP,CMD S 6MAP,CBB I 6MAP,CBB S 6MAP,CGM I 6MAP,CGM S 6MAP,VIGOUR 6MAP,Cbb9i,Cbb9s,Cmd9i,Cmd9s,Vigor 9map,Vigor preharvest,Sprout Count Net,Plnt Ht 1,Plt Ht 2,Plt Ht 3,Arch,fresh shoot weight,fresh root weight per plot,marketable root number,marketable root weight measurement in kg,plant stands harvested ,root color visual rating 1-3,root number counting,storage root shape,Root Rot,weight in air,weight in water,spg,dmc.spg,fry,starch,DMc.oven
NR17C2aF28P002,umudike,11,1,,1,1,11,0,1,9,2,9,0,1,4,2,7,4,7,8,3,0,1,7,7,8,150,125,153,3,8,8.4,8,4.4,7,1,25,3,NA,2600,250,1.106382979,33.02978723,10.5,19.82553191,41.06
NR17C2aF7P023,umudike,12,1,,1,1,12,6,3,2,,6,1,2,2,2,4,3,5,3,2,2,2,5,5,3,98,87,78,3,1,3,6,2.8,2,1,7,1,NA,1940,220,1.127906977,36.43488372,3.75,24.3627907,40.01
NR17C2aF71P001,umudike,13,2,,1,2,12,0,1,2,2,7,0,1,1,2,5,3,5,3,2,0,1,7,7,3,161,165,228,3,,,,,,,,,,,,,,,,46.5
NR17C2aF18P008,umudike,14,2,,1,2,11,1,2,3,2,9,0,1,5,2,8,3,7,5,3,0,1,7,7,7,142,197,199,2,11.2,8,8,5,6,2,25,4,1,3050,270,1.097122302,31.5647482,10,17.87338129,39.71
NR17C2aF60P006,umudike,15,2,,1,2,10,1,3,4,2,4,1,2,3,2,4,3,5,2,2,0,1,5,5,2,120,105,NA,3,2.6,4,4,3.8,3,1,8,2,NA,2560,310,1.137777778,37.99644444,5,26.44355556,38.41
NR17C2aF10P021,umudike,16,2,,1,2,9,0,1,2,2,5,0,1,1,2,2,2,5,5,2,0,1,7,7,4,123,112,102,3,3.4,7,10,5.2,3,2,24,1,NA,2740,210,1.083003953,29.3312253,8.75,14.8972332,31.77
NR17C2aF6P007,umudike,17,2,,1,2,8,0,1,1,2,9,0,1,2,2,2,2,7,5,3,0,1,7,7,4,155,216,153,3,8,11,13,8,4,2,26,4,NA,2330,230,1.10952381,33.52666667,13.75,20.48761905,41.81
NR17C2aF97P002,umudike,18,2,,1,2,7,0,1,3,2,9,0,1,6,3,5,2,7,8,2,0,1,7,7,8,135,158,156,3,4.6,11.2,18,9.6,7,1,31,2,2,3810,440,1.130563798,36.85519288,14,24.92284866,44.205
NR17C2aF89P071,umudike,19,2,,1,2,6,0,1,4,2,7,0,1,3,2,3,2,3,6,2,0,1,5,5,6,134,156,110,2,,7.8,11,6.6,5,1,19,4,NA,3440,350,1.113268608,34.11909385,9.75,21.27702265,37.21
NR17C2aF7P070,umudike,20,2,,1,2,5,0,1,10,2,10,0,1,7,2,5,2,5,8,3,0,1,7,7,7,112,130,122,4,8.6,14,16,12,7,1,27,4,4,4930,540,1.123006834,35.65968109,17.5,23.32984055,42.96
NR17C2aF89P028,umudike,21,2,,1,2,4,0,1,2,2,7,0,1,6,2,7,3,7,5,3,0,1,7,7,5,115,158,180,2,5.8,11,17,9.6,5,1,27,4,NA,3610,430,1.135220126,37.5918239,13.75,25.90440252,43.61
